Date,Open,High,Low,Close,Volume
2019-01-22,72.96,72.96,67.94,69.02,1129724.0
2019-01-18,72.41,74.59,71.91,73.97,1032253.0
2019-01-17,70.73,73.0,70.41,71.46,1384730.0
2019-01-16,68.45,72.0,68.25,70.97,771548.0
2019-01-15,67.73,69.16,67.55,68.1,1035740.0
2019-01-14,67.09,68.27,65.25,67.46,646253.0
2019-01-11,68.51,69.89,67.22,68.2,560416.0
2019-01-10,67.0,69.62,66.35,69.05,877455.0
2019-01-09,65.64,68.32,65.52,67.48,665545.0
2019-01-08,66.07,68.5,63.62,65.42,697701.0
2019-01-07,63.54,65.47,62.41,65.27,596846.0
2019-01-04,60.94,64.09,60.1,63.23,602822.0
2019-01-03,60.59,61.14,59.51,59.53,579358.0
2019-01-02,59.01,62.32,57.77,61.62,588026.0
2018-12-31,61.25,61.94,59.32,59.86,629994.0
2018-12-28,60.87,61.57,59.63,60.6,580237.0
2018-12-27,59.71,61.05,59.0,60.64,597960.0
2018-12-26,59.55,60.48,57.8,60.45,613893.0
2018-12-24,56.04,60.4,55.55,59.21,469821.0
2018-12-21,60.24,60.75,57.6,58.12,911130.0
2018-12-20,58.81,60.72,57.3,59.1,821063.0
2018-12-19,61.62,62.74,59.37,59.72,892751.0
2018-12-18,61.49,61.69,60.14,60.84,810489.0
2018-12-17,65.0,65.0,59.4,59.66,1235193.0
2018-12-14,64.45,66.96,64.2,65.63,605887.0
2018-12-13,65.97,66.9,65.3,65.57,438293.0
2018-12-12,64.61,67.69,64.42,65.52,813198.0
2018-12-11,64.0,64.7,63.06,63.21,486074.0
2018-12-10,62.4,64.63,62.0,62.91,604779.0
2018-12-07,64.66,66.09,62.37,62.66,1142606.0
2018-12-06,63.96,64.97,61.23,64.72,1097913.0
2018-12-04,68.88,69.32,65.51,65.97,679077.0
2018-12-03,71.88,72.0,67.44,68.62,1206663.0
2018-11-30,65.76,68.9,64.72,68.07,921751.0
2018-11-29,65.1,65.8,63.52,65.7,776433.0
2018-11-28,67.85,67.89,63.74,65.61,1032714.0
2018-11-27,66.84,68.35,66.39,68.05,685863.0
2018-11-26,67.28,67.3,65.61,67.17,670381.0
2018-11-23,66.98,67.95,65.14,65.85,642981.0
2018-11-21,66.98,69.71,66.7,68.01,929083.0
2018-11-20,64.92,65.73,63.66,65.62,965635.0
2018-11-19,67.0,67.7,65.78,66.61,653732.0
2018-11-16,67.97,69.27,66.5,67.83,985895.0
2018-11-15,66.98,70.33,66.17,68.81,2037110.0
2018-11-14,60.36,67.48,60.36,65.68,2834435.0
2018-11-13,62.23,63.95,58.92,60.36,2763564.0
2018-11-12,64.44,64.84,59.8,61.07,1934469.0
2018-11-09,65.18,65.95,63.75,64.73,931850.0
2018-11-08,69.47,70.5,67.4,67.59,746557.0
2018-11-07,69.39,70.45,69.23,70.22,511954.0
2018-11-06,68.66,70.61,67.56,68.41,431690.0
2018-11-05,68.23,68.79,66.91,68.46,554029.0
2018-11-02,70.0,70.25,67.39,68.61,1151130.0
2018-11-01,64.48,69.0,62.55,68.99,1519380.0
2018-10-31,62.2,64.6,61.07,63.9,1087550.0
2018-10-30,57.91,60.5,57.5,60.25,888435.0
2018-10-29,60.04,60.98,57.42,58.11,778053.0
2018-10-26,57.0,60.83,57.0,59.52,819128.0
2018-10-25,56.97,59.75,56.65,59.32,908609.0
2018-10-24,60.42,60.88,56.97,56.97,1136047.0
2018-10-23,58.68,61.82,58.63,60.55,1075778.0
2018-10-22,61.81,62.99,60.16,61.51,1200291.0
2018-10-19,61.65,62.67,58.65,59.13,1290587.0
2018-10-18,60.73,63.36,58.74,60.5,2386133.0
2018-10-17,69.0,69.69,60.25,60.54,3851509.0
2018-10-16,68.97,69.21,66.7,68.88,1625365.0
2018-10-15,71.0,71.25,67.88,68.3,2081865.0
2018-10-12,70.41,73.23,70.01,73.02,1409328.0
2018-10-11,67.75,68.74,66.77,68.03,1256226.0
2018-10-10,70.36,71.19,68.08,68.42,1749120.0
2018-10-09,71.99,72.5,69.9,71.43,1294055.0
2018-10-08,70.39,73.29,70.19,73.01,739173.0
2018-10-05,73.63,74.4,72.71,73.4,1197432.0
2018-10-04,74.13,75.59,72.49,73.83,2047331.0
2018-10-03,73.12,75.93,73.02,75.34,1064653.0
2018-10-02,71.01,73.03,69.0,72.91,1323394.0
2018-10-01,75.08,75.64,72.58,72.61,772278.0
2018-09-28,74.6,75.62,73.57,74.92,898842.0
2018-09-27,75.51,76.25,72.62,73.95,1097719.0
2018-09-26,73.87,77.1,73.73,75.9,1168800.0
2018-09-25,73.37,73.37,71.59,73.1,516583.0
2018-09-24,73.25,73.3,71.11,72.49,778870.0
2018-09-21,75.7,76.0,73.89,74.89,1322790.0
2018-09-20,72.95,75.3,71.97,74.2,1392144.0
2018-09-19,71.04,72.79,70.59,71.99,864837.0
2018-09-18,70.41,71.88,69.4,70.26,982967.0
2018-09-17,71.86,72.62,69.81,70.15,1762663.0
2018-09-14,75.0,75.0,72.58,72.84,1094873.0
2018-09-13,73.86,76.45,72.82,74.06,1677482.0
2018-09-12,70.06,71.89,68.82,71.41,1028732.0
2018-09-11,68.22,70.82,66.46,70.48,1614666.0
2018-09-10,71.25,71.79,69.61,70.59,876770.0
2018-09-07,71.81,73.5,71.06,71.58,979593.0
2018-09-06,73.75,75.32,71.6,72.34,1637223.0
2018-09-05,75.49,75.66,72.53,73.35,1118050.0
2018-09-04,76.43,78.36,75.01,76.81,1273486.0
2018-08-31,75.62,77.2,75.37,76.43,897146.0
2018-08-30,76.88,77.24,75.59,75.86,1140051.0
2018-08-29,77.0,78.18,75.51,77.92,1236944.0
2018-08-28,79.37,79.89,76.08,77.28,1401369.0
2018-08-27,78.54,79.9,77.7,78.69,1144219.0
2018-08-24,77.6,78.04,76.4,77.05,1118074.0
2018-08-23,77.33,79.6,76.13,76.48,1814113.0
2018-08-22,74.33,77.09,74.2,76.35,1170430.0
2018-08-21,75.63,75.75,73.41,73.98,1523759.0
2018-08-20,74.2,75.85,73.5,74.9,1448911.0
